A8G06A  	000	SUN	YVR	VANCOUVER           	0000	1630	6-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G06A  	001	MON	270	SCENIC CRUISING THE 	0000	0000	6-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G06A  	002	TUE	477	SCENIC CRUISING TRAC	1000	1600	6-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G06A  	002	TUE	JNU	JUNEAU              	1900	0000	6-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G06A  	003	WED	JNU	JUNEAU              	0000	1700	6-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G06A  	004	THU	KTN	KETCHIKAN           	1000	1800	6-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G06A  	005	FRI	270	SCENIC CRUISING THE 	0000	0000	6-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G06A  	006	SAT	YVR	VANCOUVER           	0700	0000	6-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07A  	000	SUN	YVR	VANCOUVER           	0000	1630	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07A  	001	MON	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07A  	002	TUE	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07A  	003	WED	SGY	SKAGWAY             	0700	2100	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07A  	004	THU	477	SCENIC CRUISING TRAC	0800	1500	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07A  	005	FRI	KTN	KETCHIKAN           	0800	1800	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07A  	006	SAT	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07A  	007	SUN	YVR	VANCOUVER           	0700	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07S  	000	SUN	YVR	VANCOUVER           	0000	1630	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07S  	001	MON	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07S  	002	TUE	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07S  	003	WED	SGY	SKAGWAY             	0700	2100	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07S  	004	THU	GB1	GLACIER BAY         	0700	1600	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07S  	005	FRI	KTN	KETCHIKAN           	1000	1800	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07S  	006	SAT	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07S  	007	SUN	YVR	VANCOUVER           	0700	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07X  	000	SAT	YVR	VANCOUVER           	0000	1630	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07X  	001	SUN	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07X  	002	MON	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07X  	003	TUE	SGY	SKAGWAY             	0700	2100	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07X  	004	WED	GB1	GLACIER BAY         	0700	1600	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07X  	005	THU	KTN	KETCHIKAN           	1000	1800	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07X  	006	FRI	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07X  	007	SAT	YVR	VANCOUVER           	0700	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07Y  	000	SUN	YVR	VANCOUVER           	0000	1630	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07Y  	001	MON	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07Y  	002	TUE	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07Y  	003	WED	SGY	SKAGWAY             	0700	2100	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07Y  	004	THU	GB1	GLACIER BAY         	0700	1600	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07Y  	005	FRI	KTN	KETCHIKAN           	1000	1800	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07Y  	006	SAT	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G07Y  	007	SUN	YVR	VANCOUVER           	0700	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G08A  	000	SAT	YVR	VANCOUVER           	0000	1630	8-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G08A  	001	SUN	270	SCENIC CRUISING THE 	0000	0000	8-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G08A  	002	MON	JNU	JUNEAU              	1300	2200	8-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G08A  	003	TUE	GB1	GLACIER BAY         	0800	1700	8-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G08A  	004	WED	HNS	HAINES              	0800	2300	8-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G08A  	005	THU	IS1	ICY STRAIT POINT    	0700	1700	8-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G08A  	006	FRI	KTN	KETCHIKAN           	1000	1800	8-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G08A  	007	SAT	270	SCENIC CRUISING THE 	0000	0000	8-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G08A  	008	SUN	YVR	VANCOUVER           	0700	0000	8-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G70S  	000	WED	YVR	VANCOUVER           	0000	1630	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G70S  	001	THU	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G70S  	002	FRI	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
